id,new,old,group,system,link,img
0,,,,,,
1,1,25,Camera,REA 1,CAM 1,
2,2,26,Camera,REA 1,CAM 2,
3,3,27,Camera,REA 1,CAM 3,
4,4,28,Camera,REA 1,CAM 4 (grua),
5,5,29,Camera,REA 1,CAM 5,
6,6,30,Camera,REA 1,CAM 6 (cenital),
7,7,31,Camera,REA 1,CAM 7 (grafics),
8,8,,Camera,REA 1,CAM 8,
9,9,38,Camera,REA 2,CAM 1 (sony),
10,10,39,Camera,REA 2,CAM 2 (sony),
11,11,40,Camera,REA 2,CAM 3 (sony),
12,12,16,Camera,REA 2,CAM 4 (sony),
13,13,,Camera,REA 2,CAM 5,
14,14,,Camera,REA 2,CAM 6,
15,15,,Camera,REA 2,CAM 7,
16,16,,Camera,REA 2,CAM 8,
17,51,41,CG,CG +,FILL,
18,52,42,CG,CG +,KEY,
19,41,43,CG,CG Xpression,FILL 1,
20,43,45,CG,CG Xpression,FILL 2,
21,42,44,CG,CG Xpression,KEY 1,
22,44,46,CG,CG Xpression,KEY 2,
23,53,61,CG,CG-INFO,1-KEY (1),
24,54,62,CG,CG-INFO,2-FILL (5),
25,55,63,CG,CG-INFO,3-KEY (2),
26,56,64,CG,CG-INFO,4-FILL (6),
27,96,57,Other,Scaler,ATV-HD Sync,
28,95,56,Other,Scaler,ATV-SD Sync,
29,,88,Fibra,Fibra,OUT 01,
30,,90,Fibra,Fibra,OUT 02,
31,,91,Fibra,Fibra,OUT 03,
32,,92,Fibra,Fibra,OUT 04,
33,,49,Frame,Frame,OUT 1,
34,,50,Frame,Frame,OUT 2,
35,,51,Frame,Frame,OUT 3,
36,,52,Frame,Frame,OUT 4,
37,,59,Mixer,ImageStore,CLEAN FEED IS-750,
38,,58,Mixer,ImageStore,PGM IS-750,
39,,60,Mixer,ImageStore,PVW IS-750,
40,75,105,Mixer,Masterpiece,CLEAN,
41,82,,Mixer,Masterpiece,OUT 10,
42,83,,Mixer,Masterpiece,OUT 11,
43,84,,Mixer,Masterpiece,OUT 12,
44,76,106,Mixer,Masterpiece,OUT 4,
45,77,,Mixer,Masterpiece,OUT 5,
46,78,,Mixer,Masterpiece,OUT 6,
47,79,,Mixer,Masterpiece,OUT 7,
48,80,,Mixer,Masterpiece,OUT 8,
49,81,,Mixer,Masterpiece,OUT 9,
50,73,103,Mixer,Masterpiece,PGM,
51,74,104,Mixer,Masterpiece,PVW,
52,86,19,Mixer,Radio,RNA Atem,
53,87,20,Mixer,Radio,RNA Locutori 2,
54,25,2,Mixer,Sony,PGM Rea_2,
55,26,,Mixer,Sony,Rea_2 OUT 02,
56,27,,Mixer,Sony,Rea_2 OUT 03,
57,28,,Mixer,Sony,Rea_2 OUT 04,
58,29,,Mixer,Sony,Rea_2 OUT 05,
59,30,,Mixer,Sony,Rea_2 OUT 06,
