id,new,old,group,system,link,img
0,,,,,,
1,137,,CG,CG-INFO,IN 5,
2,138,,CG,CG-INFO,IN 6,
3,139,,CG,CG-INFO,IN 7,
4,140,,CG,CG-INFO,IN 8,
5,94,60,Other,Scaler,AIR ATV-PGM - Sync,
6,21,49,Frame,Frame,IN 1,
7,22,50,Frame,Frame,IN 2,
8,23,51,Frame,Frame,IN 3,
9,24,52,Frame,Frame,IN 4,
10,,58,Mixer,ImageStore,IN A,
11,,59,Mixer,ImageStore,IN B,
12,73,15,Mixer,Masterpiece,IN 01 - Rea 1,
13,74,16,Mixer,Masterpiece,IN 02 - France24,
14,75,17,Mixer,Masterpiece,IN 03 - Sync10 AreaNit,
15,76,18,Mixer,Masterpiece,IN 04 - CG Transit,
16,77,19,Mixer,Masterpiece,IN 05 - OneTV A,
17,78,20,Mixer,Masterpiece,IN 06 - OneTV B,
18,79,21,Mixer,Masterpiece,IN 07 - VectorBox A,
19,80,22,Mixer,Masterpiece,IN 08 - VectorBox B,
20,81,23,Mixer,Masterpiece,IN 09 - Frame Teranex,
21,82,24,Mixer,Masterpiece,IN 10 - …,
22,83,65,Mixer,Masterpiece,IN 11 FILL 1,
23,84,66,Mixer,Masterpiece,IN 12 KEY 1,
24,85,67,Mixer,Masterpiece,IN 13 FILL 2,
25,86,68,Mixer,Masterpiece,IN 14 KEY 2,
26,87,63,Mixer,Masterpiece,IN 15 FILL 3,
27,88,64,Mixer,Masterpiece,IN 16 KEY 3,
28,89,,Mixer,Masterpiece,IN 17 BUS A,
29,90,,Mixer,Masterpiece,IN 17 BUS B,
30,25,25,Mixer,Sony,Rea_2 IN_01,
31,26,26,Mixer,Sony,Rea_2 IN_02,
32,27,27,Mixer,Sony,Rea_2 IN_03,
33,28,28,Mixer,Sony,Rea_2 IN_04,
34,29,29,Mixer,Sony,Rea_2 IN_05,
35,30,30,Mixer,Sony,Rea_2 IN_06,
36,31,31,Mixer,Sony,Rea_2 IN_07,
37,32,32,Mixer,Sony,Rea_2 IN_08,
38,33,33,Mixer,Sony,Rea_2 IN_09,
39,34,34,Mixer,Sony,Rea_2 IN_10,
40,35,35,Mixer,Sony,Rea_2 IN_11,
41,36,36,Mixer,Sony,Rea_2 IN_12,
42,37,77,Mixer,Sony,Rea_2 IN_13 Sync01 De01,
43,38,78,Mixer,Sony,Rea_2 IN_14 Sync02 De02,
44,39,79,Mixer,Sony,Rea_2 IN_15 Sync03 De03,
45,40,80,Mixer,Sony,Rea_2 IN_16 Sync04 De04,
46,41,81,Mixer,Sony,Rea_2 IN_17 Sync05 De05,
47,42,82,Mixer,Sony,Rea_2 IN_18 Sync06 De06,
48,43,83,Mixer,Sony,Rea_2 IN_19 Sync07 De07,
49,44,84,Mixer,Sony,Rea_2 IN_20 Sync08 De08,
50,45,85,Mixer,Sony,Rea_2 IN_21 De09,
51,46,86,Mixer,Sony,Rea_2 IN_22 De10,
52,47,87,Mixer,Sony,Rea_2 IN_23 De11,
53,48,88,Mixer,Sony,Rea_2 IN_24 De12,
54,49,89,Mixer,Sony,Rea_2 IN_25 De13,
55,50,90,Mixer,Sony,Rea_2 IN_26 De14,
56,51,91,Mixer,Sony,Rea_2 IN_27 De15,
